year,carrier_name,sum_arr_flight,sum_arr_del15,sum_arr_cancelled,sum_arr_diverted,sum_arr_delay,sum_carrier_delay,sum_weather_delay,sum_nas_delay,sum_security_delay,sum_late_aircraft_delay,sum_delay,sum_on_time,percent_on_time,percent_delay,percent_carrier_delay,percent_weather_delay,percent_nas_delay,percent_security_delay,percent_late_aircraft_delay
2004,American Airlines Inc.,698548.0,148150.0,12402.0,1644.0,8787404.0,2101534.0,779736.0,3110021.0,21305.0,2774808.0,162196.0,536352.0,0.768,0.232,0.239,0.089,0.354,0.002,0.316
2004,Delta Air Lines Inc.,687638.0,151942.0,10717.0,1197.0,7160415.0,1873049.0,215293.0,3047433.0,8486.0,2016154.0,163856.0,523782.0,0.762,0.238,0.262,0.03,0.426,0.001,0.282
2004,Southwest Airlines Co.,990404.0,185595.0,10103.0,1781.0,8289874.0,1609504.0,315415.0,1261154.0,29781.0,5074020.0,197479.0,792925.0,0.801,0.199,0.194,0.038,0.152,0.004,0.612
2004,United Air Lines Inc.,555812.0,105032.0,6548.0,1000.0,5988916.0,1298538.0,137792.0,2485800.0,7113.0,2059673.0,112580.0,443232.0,0.797,0.203,0.217,0.023,0.415,0.001,0.344
2005,American Airlines Inc.,673569.0,144389.0,9752.0,1717.0,8122968.0,2086897.0,593395.0,2723931.0,9103.0,2709642.0,155858.0,517711.0,0.769,0.231,0.257,0.073,0.335,0.001,0.334
2005,Delta Air Lines Inc.,658302.0,137098.0,17731.0,1282.0,7146602.0,1871056.0,179922.0,2859431.0,5791.0,2230402.0,156111.0,502191.0,0.763,0.237,0.262,0.025,0.4,0.001,0.312
2005,Southwest Airlines Co.,1036034.0,189099.0,8759.0,1638.0,8325153.0,1704389.0,311519.0,1276801.0,26240.0,5006204.0,199496.0,836538.0,0.807,0.193,0.205,0.037,0.153,0.003,0.601
2005,United Air Lines Inc.,485918.0,101429.0,6296.0,878.0,5866380.0,1575285.0,143816.0,1862790.0,601.0,2283888.0,108603.0,377315.0,0.776,0.224,0.269,0.025,0.318,0.0,0.389
2006,American Airlines Inc.,643597.0,145563.0,10127.0,1701.0,8573216.0,2169731.0,496936.0,2822911.0,19379.0,3064259.0,157391.0,486206.0,0.755,0.245,0.253,0.058,0.329,0.002,0.357
2006,Delta Air Lines Inc.,506086.0,111152.0,7695.0,1112.0,5466946.0,1560855.0,145371.0,1995875.0,12549.0,1752296.0,119959.0,386127.0,0.763,0.237,0.286,0.027,0.365,0.002,0.321
2006,Southwest Airlines Co.,1099321.0,206597.0,8951.0,1753.0,9515613.0,2003472.0,394303.0,1382049.0,40357.0,5695432.0,217301.0,882020.0,0.802,0.198,0.211,0.041,0.145,0.004,0.599
2006,United Air Lines Inc.,500008.0,119391.0,10238.0,1088.0,7222635.0,1651083.0,170951.0,2206017.0,643.0,3193941.0,130717.0,369291.0,0.739,0.261,0.229,0.024,0.305,0.0,0.442
2007,American Airlines Inc.,633857.0,178129.0,17924.0,2097.0,10869722.0,2700300.0,811124.0,3275624.0,7775.0,4074899.0,198150.0,435707.0,0.687,0.313,0.248,0.075,0.301,0.001,0.375
2007,Delta Air Lines Inc.,475889.0,102404.0,6521.0,1045.0,5176517.0,1530087.0,152501.0,1866371.0,6735.0,1620823.0,109970.0,365919.0,0.769,0.231,0.296,0.029,0.361,0.001,0.313
2007,Southwest Airlines Co.,1168871.0,220441.0,9993.0,1920.0,10476439.0,2102273.0,470366.0,1597151.0,39398.0,6267251.0,232354.0,936517.0,0.801,0.199,0.201,0.045,0.152,0.004,0.598
2007,United Air Lines Inc.,490002.0,132461.0,11929.0,983.0,8056164.0,1838180.0,235286.0,2262296.0,895.0,3719507.0,145373.0,344629.0,0.703,0.297,0.228,0.029,0.281,0.0,0.462
2008,American Airlines Inc.,604885.0,163024.0,17440.0,1960.0,9569077.0,2821907.0,418677.0,2987319.0,6626.0,3334548.0,182424.0,422461.0,0.698,0.302,0.295,0.044,0.312,0.001,0.348
2008,Delta Air Lines Inc.,451931.0,98840.0,6813.0,1184.0,5125061.0,1411220.0,167124.0,1945194.0,1365.0,1600158.0,106837.0,345094.0,0.764,0.236,0.275,0.033,0.38,0.0,0.312
2008,Southwest Airlines Co.,1201754.0,219757.0,12389.0,2454.0,11127162.0,2261002.0,510665.0,1718542.0,25821.0,6611132.0,234600.0,967154.0,0.805,0.195,0.203,0.046,0.154,0.002,0.594
2008,United Air Lines Inc.,449515.0,116072.0,10541.0,995.0,7216447.0,1720150.0,214132.0,2047161.0,1661.0,3233343.0,127608.0,321907.0,0.716,0.284,0.238,0.03,0.284,0.0,0.448
2009,American Airlines Inc.,551597.0,114591.0,9248.0,1861.0,6796315.0,2283295.0,432667.0,1884383.0,3531.0,2192439.0,125700.0,425897.0,0.772,0.228,0.336,0.064,0.277,0.001,0.323
2009,Delta Air Lines Inc.,428007.0,85948.0,4790.0,1027.0,4408308.0,1190233.0,154579.0,1786806.0,1310.0,1275380.0,91765.0,336242.0,0.786,0.214,0.27,0.035,0.405,0.0,0.289
2009,Southwest Airlines Co.,1132278.0,181988.0,8594.0,1936.0,8558081.0,2123036.0,385787.0,1287158.0,19613.0,4742487.0,192518.0,939760.0,0.83,0.17,0.248,0.045,0.15,0.002,0.554
2009,United Air Lines Inc.,377049.0,64577.0,6378.0,764.0,3884397.0,983008.0,104269.0,1062730.0,1934.0,1732456.0,71719.0,305330.0,0.81,0.19,0.253,0.027,0.274,0.0,0.446
2010,American Airlines Inc.,540963.0,99108.0,9146.0,1957.0,5565988.0,1993052.0,358453.0,1502617.0,5964.0,1705902.0,110211.0,430752.0,0.796,0.204,0.358,0.064,0.27,0.001,0.306
2010,Delta Air Lines Inc.,732973.0,149425.0,14857.0,1621.0,8195204.0,2910046.0,380885.0,2317622.0,3371.0,2583280.0,165903.0,567070.0,0.774,0.226,0.355,0.046,0.283,0.0,0.315
2010,Southwest Airlines Co.,1124487.0,217213.0,11597.0,2166.0,10029222.0,2810519.0,387527.0,1292940.0,26844.0,5511392.0,230976.0,893511.0,0.795,0.205,0.28,0.039,0.129,0.003,0.55
2010,United Air Lines Inc.,343081.0,45154.0,5010.0,748.0,2660172.0,657918.0,77169.0,792328.0,1321.0,1131436.0,50912.0,292169.0,0.852,0.148,0.247,0.029,0.298,0.0,0.425
2011,American Airlines Inc.,538179.0,103978.0,13527.0,2024.0,5920542.0,2133621.0,401882.0,1508508.0,2337.0,1874194.0,119529.0,418650.0,0.778,0.222,0.36,0.068,0.255,0.0,0.317
2011,Delta Air Lines Inc.,732331.0,118041.0,10188.0,1433.0,6379583.0,2188241.0,300469.0,1827410.0,2316.0,2061147.0,129662.0,602669.0,0.823,0.177,0.343,0.047,0.286,0.0,0.323
2011,Southwest Airlines Co.,1155717.0,201394.0,12147.0,2272.0,10082029.0,2665593.0,401925.0,1323522.0,29827.0,5661162.0,215813.0,939904.0,0.813,0.187,0.264,0.04,0.131,0.003,0.562
2011,United Air Lines Inc.,311212.0,56255.0,4880.0,594.0,3324137.0,836099.0,95246.0,993489.0,1890.0,1397413.0,61729.0,249483.0,0.802,0.198,0.252,0.029,0.299,0.001,0.42
2012,American Airlines Inc.,525220.0,109752.0,9569.0,1777.0,6203856.0,2140405.0,343832.0,1419535.0,4362.0,2295722.0,121098.0,404122.0,0.769,0.231,0.345,0.055,0.229,0.001,0.37
2012,Delta Air Lines Inc.,726879.0,92829.0,3713.0,1260.0,5136802.0,1965386.0,178807.0,1361153.0,2025.0,1629431.0,97802.0,629077.0,0.865,0.135,0.383,0.035,0.265,0.0,0.317
2012,Southwest Airlines Co.,1140535.0,180969.0,9580.0,1880.0,8821656.0,2598575.0,355588.0,1231329.0,23587.0,4612577.0,192429.0,948106.0,0.831,0.169,0.295,0.04,0.14,0.003,0.523
2012,United Air Lines Inc.,531245.0,111579.0,7599.0,1130.0,6430231.0,2117628.0,158014.0,1661009.0,9977.0,2483603.0,120308.0,410937.0,0.774,0.226,0.329,0.025,0.258,0.002,0.386
2013,American Airlines Inc.,537891.0,108865.0,9749.0,1786.0,6355728.0,1927664.0,341701.0,1406221.0,6384.0,2673758.0,120400.0,417491.0,0.776,0.224,0.303,0.054,0.221,0.001,0.421
2013,Delta Air Lines Inc.,754670.0,113157.0,2435.0,1343.0,6634527.0,2691572.0,333994.0,1749949.0,7816.0,1851196.0,116935.0,637735.0,0.845,0.155,0.406,0.05,0.264,0.001,0.279
2013,Southwest Airlines Co.,1130704.0,252944.0,8440.0,2101.0,11652537.0,3177218.0,447198.0,1749046.0,24200.0,6254875.0,263485.0,867219.0,0.767,0.233,0.273,0.038,0.15,0.002,0.537
2013,United Air Lines Inc.,505798.0,98754.0,4920.0,1183.0,5827264.0,1732247.0,201021.0,1713003.0,6076.0,2174917.0,104857.0,400941.0,0.793,0.207,0.297,0.034,0.294,0.001,0.373
2014,American Airlines Inc.,537697.0,119751.0,8457.0,1957.0,7131277.0,2196265.0,408197.0,1632082.0,4225.0,2890508.0,130165.0,407532.0,0.758,0.242,0.308,0.057,0.229,0.001,0.405
2014,Delta Air Lines Inc.,800375.0,122489.0,6502.0,1373.0,6965629.0,2694134.0,498602.0,1833423.0,3556.0,1935914.0,130364.0,670011.0,0.837,0.163,0.387,0.072,0.263,0.001,0.278
2014,Southwest Airlines Co.,1174633.0,299133.0,15165.0,2731.0,15362643.0,4439535.0,478836.0,1945812.0,13850.0,8484610.0,317029.0,857604.0,0.73,0.27,0.289,0.031,0.127,0.001,0.552
2014,United Air Lines Inc.,493528.0,109965.0,7330.0,1206.0,6473753.0,1985119.0,282459.0,1793066.0,208.0,2412901.0,118501.0,375027.0,0.76,0.24,0.307,0.044,0.277,0.0,0.373
2015,American Airlines Inc.,725984.0,130279.0,10919.0,2130.0,7831435.0,2753994.0,467420.0,1760561.0,16158.0,2833302.0,143328.0,582656.0,0.803,0.197,0.352,0.06,0.225,0.002,0.362
2015,Delta Air Lines Inc.,875881.0,118023.0,3824.0,1782.0,7229891.0,2707569.0,602901.0,1779383.0,3910.0,2136128.0,123629.0,752252.0,0.859,0.141,0.374,0.083,0.246,0.001,0.295
2015,Southwest Airlines Co.,1261855.0,236626.0,16043.0,3409.0,12371384.0,3831371.0,545369.0,1669198.0,11888.0,6313558.0,256078.0,1005777.0,0.797,0.203,0.31,0.044,0.135,0.001,0.51
2015,United Air Lines Inc.,515723.0,104722.0,6573.0,1388.0,6775806.0,2214313.0,325044.0,1510372.0,1305.0,2724772.0,112683.0,403040.0,0.782,0.218,0.327,0.048,0.223,0.0,0.402
2016,American Airlines Inc.,914495.0,175453.0,10867.0,2216.0,10709365.0,3630189.0,550751.0,2645952.0,21871.0,3860602.0,188536.0,725959.0,0.794,0.206,0.339,0.051,0.247,0.002,0.36
2016,Delta Air Lines Inc.,922746.0,118938.0,4116.0,1734.0,8157920.0,3363437.0,492018.0,1862011.0,5816.0,2434638.0,124788.0,797958.0,0.865,0.135,0.412,0.06,0.228,0.001,0.298
2016,Southwest Airlines Co.,1299444.0,230611.0,15866.0,3064.0,11560098.0,3261887.0,514401.0,1897007.0,19618.0,5867185.0,249541.0,1049903.0,0.808,0.192,0.282,0.044,0.164,0.002,0.508
2016,United Air Lines Inc.,545067.0,92841.0,5470.0,1407.0,6356954.0,1854812.0,311233.0,1656816.0,2078.0,2532015.0,99718.0,445349.0,0.817,0.183,0.292,0.049,0.261,0.0,0.398
2017,American Airlines Inc.,218369.0,37158.0,2996.0,454.0,2086082.0,732123.0,66301.0,561941.0,4484.0,721233.0,40608.0,177761.0,0.814,0.186,0.351,0.032,0.269,0.002,0.346
2017,Delta Air Lines Inc.,214196.0,28708.0,1577.0,421.0,2046761.0,775106.0,199256.0,504071.0,839.0,567489.0,30706.0,183490.0,0.857,0.143,0.379,0.097,0.246,0.0,0.277
2017,Southwest Airlines Co.,318670.0,61419.0,5725.0,601.0,2839128.0,685774.0,120664.0,585227.0,1871.0,1445592.0,67745.0,250925.0,0.787,0.213,0.242,0.043,0.206,0.001,0.509
2017,United Air Lines Inc.,130904.0,24276.0,1265.0,261.0,1668808.0,472138.0,52098.0,529832.0,181.0,614559.0,25802.0,105102.0,0.803,0.197,0.283,0.031,0.317,0.0,0.368
